En,Nk
Its absolutely impossible to work with all this noise,이런 소음속에서는 절대로 일하지 못한다
He absolutely adores that car,그는 그차를 아주 좋아한다
know absolutely nothing about,에 대해서 전혀 모르다
He has absolutely no experience of lecturing,그는 강의를 해본 경험이 전혀 없다
a verb used absolutely,독립적으로 쓰인 동사
He cannot be absolved of all responsibility for the accident,그는 그 사고의 모든 책임으로부터 벗어날수 없다
Plants absorb nutrients from the soil,식물은 영양분을 토양에서 흡수한다
The drug is quickly absorbed into the bloodstream,그 약은 피흐름에 빨리 흡수된다
absorb all sound of the outside world,바깥세계의 모든 소음을 흡수하다
absorb the vibration of machinery,기계의 진동을 흡수하다
The suburbs were absorbed into by the city,교외마을들이 시에 병합되였다
"he was so absorbed in his book, he didn't even notice me come in",그는 자기책에 너무 열중해서 내가 들어오는것도 알아차리지 못했다
"He lay on the settee, absorbed in his book",그는 긴의자에 누워서 책에 심취되여있었다
absorbent paper,흡수종이
Some poisonous gases can enter the body by absorption through the skin,일부 독가스는 피부를 통하여 신체에 흡수될수 있다
a total abstainer,절대금주가
an abstemious life,절제생활
fasting and abstention from intoxicating drinks,절식과 금주
total abstinence,절대금주
be totally abstinent from alcohol,절대금주하다
abstinently,삼가하여
abstract thought,추상적인 사고
abstract concepts such as love or beauty,사랑이나 아름다움과 같은 추상적인 개념
abstract salt from water,물에서 소금기를 빼다
form a general notion by abstracting from particulars,구체적인것으로부터 일반적인 개념을 추상하다
abstractable bl abstractly,추상적으로
abstractness,추상성
with an abstracted air,멍하니
with an abstracted air,정신없이
She seemed abstracted and unaware of her surroundings,그는 딴데 정신이 팔려 주위환경을 알아차리지 못하는것 같았다
"Until now, our generation only knew war as an abstraction",지금까지 우리 세대는 전쟁을 추상적인 개념으로만 알고있었다
gaze in abstraction at,을 멍하니 바라보다
interpret his words in abstraction from any historical context,그의 말을 그 어떤 력사적배경과도 떼여놓고 해석하다
Some of the stories he tells verge on the absurd,그가 하는 일부 이야기는 거의 엉터리이다
be abubble with the news,소식을 듣고 감격에 휩싸이다
an abundance of alternative energy sources,많은 대용에네르기자원
grow in abundance,무성하게 자라다
One quality the team possessed in abundance was fighting spirit,팀이 가지고있는 두드러지는 기질의 하나는 투지이다
an abundant supply of food,충분한 식량공급
an abundant evidence,충분한 증거
Our country is abundant in natural resources,우리나라에는 자연부원이 풍부하다
abundantly clear,아주 명백한
I never expected that he would abuse the trust I placed in him,나는 그가 나의 믿음을 악용할줄은 꿈에도 생각치 못했다
be racially abused,인종적인 모욕을 받다
suffer racial abuse at school,학교에서 인종적학대를 받다
the abusive practices of businesses,기업들의 상습적인 위법행위
abut a timber against a post,재목을 기둥에 기대놓다
The city was abuzz with rumours,도시는 소문으로 떠들썩하였다
the abyss of time,끝없는 시간
the abyss of time,영원
the abyss of despair,절망의 구렁텅이
stand on the edge of an abyss,위기에 직면하다
a gaping abyss between,사이의 대단히 큰 차이
students in academic dress,대학례복을 입은 대학생들
an academic degree,학위
He had no academic qualifications,그는 고등교육을 받지 못했다
accede to the strikers demands,파업자들의 요구를 받아들이다
accede to the UNESCO,유네스코에 가입하다
accelerate the rate of economic growth,경제장성률을 더욱 높이다
the acceleration of the industrialization process,공업화과정의 촉진
acceleration of gravity,중력가속도
detect a slight German accent,약간한 도이췰란드억양을 알아차리다
a new range of childrens toys with the accent on creativity,창발성을 키우는데 중점을 둔 여러가지 새 어린이장난감들
speak in heavily accented English,외국말투로 영어를 말하다
an accented syllable,력점 있는 소리마디
His jacket unfortunately accentuated his paunch,그가 입은 쟈케트는 공교롭게도 자기의 불룩한 배를 두드러지게 하였다
"Sorry, we dont accept credit cards",미안합니다 우리 상점에서는 신용카드를 접수하지 않습니다
The police refused to accept her version of the events,경찰은 그 사건에 대한 그 녀자의 설명을 믿지 않았다
an agreement which is acceptable to both sides,쌍방이 접수할수 있는 합의
It is not socially acceptable for parents to leave children unattended at that age,그러한 나이의 어린이들을 내버려두는 부모들은 사회적으로 용인되지 않는다
the main access to the building,건물의 기본입구
the only access to the village,마을로 들어가는 유일한 통로
a villa with easy access to the sea,바다로 쉽게 나갈수 있게 된 별장
have access to the Internet,인터네트를 리용하다
give the user quick and easy access to the required information,리용자가 요구하는 정보를 신속하면서도 쉽게 제공하다
You gain access to your data by typing in a password,암호를 쳐넣으면 자료를 볼수 있다
have access to him once a week,한주일에 한번 그를 만나다
two new roads being built to increase accessibility to the town centre,도시중심으로 빨리 들어갈수 있게 건설하는 두개의 새 도로
the building made accessible to disabled people,불구자들이 들어갈수 있도록 건설된 건물
the need for an efficient health service that is accessible to all,모든 사람들이 향유할수 있는 효과적인 보건봉사의 필요성
an accessory to murder,살인공범자
an inevitable accident,불가피한 사고
without accident,무사히
It is no accident that,은 우연한 일이 아니다
Accidents will happen,재난이란 자칫하면 일어나기마련이다
more by accident than design,의도적으로라기보다도 우연히
an accidental death,사고로 인한 죽음
an accidental discovery,우연한 발견
accidentally on purpose,일부러 우연적인것처럼 꾸며서
She is being acclaimed as the greatest dancer of her generation,그는 자기 대에서 가장 훌륭한 무용수로 인정받고있다
win international acclaim,국제적인 찬양을 받다
acclimatize to the humid tropical conditions,눅눅한 열대환경에 익숙하다
become acclimatized to desert conditions,사막조건에 익숙되다
acclimatize ourselves to the new working conditions,새 작업환경에 익숙되다
The island was used to accommodate refugees,섬은 피난민들을 수용하는데 리용되였다
Any language must accommodate new concepts,어떤 언어든지 새로운 개념들을 받아들여야 한다
The new policies fail to accommodate the disabled,새로운 시책은 불구자들의 요구를 받아들이지 못했다
He managed to accommodate himself well to the new surroundings,그는 새 환경에 잘 순응해나갔다
Her eyes took a while to accommodate to the darkness,그의 눈이 어둠에 적응하는데 잠시 시간이 걸렸다
live in temporary accommodation,림시거처에서 살다
enjoy a weeklong stay in luxury accommodations,사치한 숙소에서 한주일 지내다
We have first and second class accommodation on this flight,이 비행기편에는 일등석과 이등석이 있다
reach an accommodation with,와 합의를 보다
seek an accommodation with,와의 해결책을 찾다
White wine makes an excellent accompaniment to fish,물고기에는 흰포도주가 어울린다
sing to a guitar accompaniment,기타반주에 맞추어 노래하다
the singers accompanist on the piano,가수의 피아노반주
The disease is accompanied by sneezing and fever,그 병은 재채기와 열을 동반한다
an accompanying guardian,동행하는 보호자
Mission accomplished,임무수행
be accomplished in all the arts,모든 예술적재능을 갖추다
the accomplishment of planned objectives,계획한 목적의 달성
the powers accorded to the head of state,국가수반에게 부여된 권력
accord high priority to the quality of teaching,교육의 질에 첫째가는 중요성을 부여하다
His version of events does not accord with witnesses statements,사건에 대한 그의 설명은 목격자들의 진술과 일치하지 않는다
in accord with,와 일치하여
in accord with,과 맞아
These results are in accord with earlier research,이러한 결과는 앞선 연구결과와 일치한다
of its own accord,자연히
of its own accord,저절로
music accordant with the words,가사에 맞는 음악
We see things differently according as we are rich or poor,빈부에 따라 사물을 보는바가 다르다
according to,에 따라
Everything went according to plan,모든것이 계획대로 진척되였다
You will be paid according to the amount of work you do,일한만큼 봉급을 받게 된다
according to a recent public opinion poll,최근 여론조사에 의하면
an accordion door,접었다폈다하는 칸막이문
be accosted by four youths,네명의 청년들이 다가와 위협하다
Reporters accosted him in the street,거리에서 기자들이 그에게 다가와 대담하게 말을 시켰다
give an account of what has happened,일어난 일에 대하여 설명하다
keep a detailed account of,에 대하여 자세히 기록하다
Several eyewitnesses accounts differed considerably from the official version of event,여러 목격자들의 말은 사건에 대한 공식적인 설명과는 상당히 차이났다
buy things on account,외상으로 물건을 사다
My salary is paid directly into my bank account,나의 로임은 은행돈자리에 직접 예금된다
keep an account of,을 기록하다
settle accounts with,에게 진 빚을 청산하다
square accounts with,대차를 없애다
She accounted herself clever,자기로서는 령리한 사람으로 생각했다
Recent pressure at work may account for his behaviour,모름지기 최근 사업상 바쁜 업무가 그로 하여금 그런 행동을 하게 했을거다
Students account for the vast majority of our customers,대학생들이 우리 손님의 대부분을 이루고있다
be held accountable for,의 책임을 지다
He is accountable only to the managing director,그는 지배인앞에서만 책임을 진다
be qualified and experienced in accountancy,회계원자격과 경험이 있다
The discovery of distillation is usually accredited to the Arabs,증류법은 일반적으로 아랍사람들이 발견한것으로 보고있다
Asian ambassadors accredited to DPR Korea,조선주재 아시아나라대사들
the accretion of sediments in coastal mangroves,바다가망그로브숲에 쌓인 감탕
The last part of the legend is a later accretion,이 전설의 마감부분은 후세에 덧붙여진것이다
benefits that accrue to students,대학생들이 받게 되는 혜택
advantages accruing from the introduction of new technology,새로운 기술의 도입으로 생기는 우점
accumulate enough evidence,충분한 증거를 모으다
accumulate a huge fortune,막대한 재산을 모으다
the accumulative effects of pollution,늘어나는 오염의 영향
pass the ball with unerring accuracy,아주 정확하게 공을 련락하다
the accuracy of the radiocarbon dating,방사성탄소년대측정의 정확성
get accurate figures on population numbers,인구에 대한 정확한 수자를 얻다
an accurate thermometer,정확한 온도계
an accurate reflection of life in postwar Spain,전후 에스빠냐에서의 생활에 대한 정확한 반영
make wild accusations against,에 대한 터무니없는 비난을 하다
face accusations of corruption,부패하다는 비난에 직면하다
be accused of theft,절도죄로 고소되다
They accused him of dishonesty,그들은 그가 정직하지 못하다고 책망하였다
stand accused of eroding freedom of speech,언론의 자유를 침해했다는 비난을 받다
accustom myself to all the new rules and regulations,모든 새 규칙과 규정에 익숙되다
an ace of aces,으뜸가는 비행사
be aces with,높이 평가받는
be aces with,에게 존중받는
easy aces,쌍방에 똑같이 배분되는 에이스패
hold all the aces have all the aces,최대로 유리한 립장에 있다
hold all the aces have all the aces,우세를 차지하다
within an ace of,하마트면
within an ace of,거의
come within an ace of death,하마트면 죽을번하였다
acetylcoenzyme A,생화학
mango achar,망고아카르
ache all over,온몸이 아프다
a sense of achievement,성취감
achingly,몹시
automatic car identification,자동차량식별
poor acid soils,척박한 산성토양
rocknroll,환각을 일으키는 효과를 노린 음악
acknowledge the truth of an argument,론의의 진실성을 인정하다
refuse to acknowledge the new government,새 정부를 공식인정하기을 거부하다
Please acknowledge receipt of this letter,편지를 받은데 대하여 통지해주기 바랍니다
receive an award in acknowledgement of,의 사례로 상을 받다
He touched his hat in acknowledgement,그는 인사의 표시로 자기 모자를 다쳤다
anterior cruciate ligament,전십자인대
the acme of scientific knowledge,과학지식의 극치
acotyledonous dns,무자엽의
convert acoustic waves to electrical signals,음파를 전기신호로 바꾸다
You need to acquaint the police with the facts,경찰에게 사실을 알려야 한다
I need to acquaint myself with the new regulations,나는 새로운 규정을 알아야 한다
develop an acquaintance over the Internet,인터네트를 통해 안면을 넓히다
on a short acquaintance,잠간 교제하고나서
I renewed my acquaintance with Myong Il,나는 명일과 교제를 새로 시작하였다
a casual acquaintance,그저 아는 사이
a mere acquaintance not a friend,친구는 아니고 그저 아는 사람
have a wide circle of friends and acquaintances,친구와 아는 사람이 많다
be well acquainted with classical literature,고전문학에 정통하다
be not personally acquainted with,와 개인적으로 안면이 없다
acquire an email address and a site on the World Wide Web WWW,에 전자우편주소와 싸이트를 내오다
acquire the rudiments of Greek,그리스어의 초보를 습득하다
acquire a taste for beer,맥주에 맛을 들이다
acquire a reputation for,라는 평판을 얻다
acquire currency,퍼지다
the acquirement of self control,자제력을 얻는것
an acquirement and tracking radar,발견 및 추종레이다
She was acquitted on all counts,그는 기소된 모든 항목에서 무죄판결을 받았다
The jury acquitted Bill of murder,배심원들은 빌이 살인하지 않았다고 판결하였다
an acrimonious dispute,격렬한 론쟁
acrobatics on horseback,말우에서의 재주
a bridge across a river,강에 놓은 다리
across country,들판을 가로 질러
the first flight across the Atlantic,첫 대서양횡단비행
be popular across most of the country,나라의 대부분지역에서 인기가 있다
the woman sitting across from me on the train,기차에서 내 맞은편에 앉아있는 녀성
across the board,전면적으로
across the board,총괄적으로
an acrosstheboard pay increase,전반적인로임인상
The time has come to act not to think,생각이 아니라 행동할 때가 왔다
I acted dumb at first,나는 처음에 벙어리인체 하였다
Disinfectants act on bacteria in two main ways,살균제는 박테리아에 주로 두측면에서 작용한다
act for the bank act on behalf of the bank,은행을 대표하다
act the fool,바보짓을 하다
Punishment acts as a deterrent to crime,형벌은 죄를 범하지 못하게 하는 역할을 한다
Acting on impulse can get you into a lot of trouble,충동에 따라 행동하게 되면 매우 곤난한 처지에 빠질수 있다
The computer is acting up again,콤퓨터가 또 말썽이군
put on an act,연극을 꾸미다
Was she really upset or was that just an act,그가 정말 당황했나 아니면 그저 연극이였나
a balancing act a juggling act,동시에 두가지 이상의 일을 돌보아야 할 정황
do a balancing act between work and family,직장과 가정의 두가지 일을 돌보다
act of God,자연재해
act of God,불가항력
act of grace,대사법 은전
Act of Supremacy,국왕지상법
Act of Supremacy,수장법
Act of Union,련합법
in the act of,할 때에
in the act of,이 한창인 때에
act drop,연극
adrenocorticotrophic hormone,생화학 신상선피질자극호르몬
take up acting as a career,직업으로 배우를 시작하다
threaten military action against,에 대한 군사적공격을 하겠다고 위협하다
the action of the drug on the nervous system,신경계통에 대한 약의 작용
see action in Iraq,이라크에서 전투에 참가하다
face disciplinary action,징계처분을 받다
take legal action against,을 상대로 소송을 제기하다
bring an action for negligence against the hospital,병원을 상대로 과실소송을 제기하다
drop action,소송을 그만두다
A journalist has to be where the action is,기자들은 중요한 일이 일어나는곳에 있어야 한다
Actions speak louder than words,행동은 말보다 웅변적이다
photos of ski jumpers in action,스키도약선수가 도약하는 장면의 사진
i'd like see the new computer system in action,새 콤퓨터체계가 가동하는것을 보고싶다
be killed in action,전사하다
be listed as missing in action,전투중 행방불명으로 명단에 오르다
line of action,작업계통 행동방침 작용선
rouse to action,분발시키다
suit the action to the word,언행을 일치시키다
fit the action to the word,말한것을 곧 실천하다
Their remarks were bordering on actionable,그들의 발언은 거의 소송에 제기할만한것이였다
an actional verb,행동성동사
an actionpacked programme of events,격동적인 행사들이 많은 일정
be at action stations,전투태세에 있다
activate the alarm,경보신호를 가동시키다
enjoy an active social life,정력적인 사회생활을 누리다
maintain active links with,와 적극적인 련계를 유지하다
an active volcano,활화산
"nicotine, the active ingredient in tobacco",담배의 기본활성성분인 니코틴
the active voice,능동상
the active voice,능동형
on the active list,현역에 있다
on active service,현역의 종군중의
a trade union activist,로조활동가
regular physical activity,정상적인 육체활동
a low level of activity in the economy,경제활동에서의 낮은 수준
The marketplace was once a hive of activity,시장은 한때 많은 사람들로 붐비였다
the firms marketing activities,회사의 시장활동
character actor,성격배우
her actressy manner,그 녀자의 꾸민듯한 처신
in actual fact,실제로
in actual fact,사실상
in actuality,사실상
in actuality,실제로
the grim actualities of colonial life,식민지생활의 험악한 실상
He actually expected me to be pleased about it,실제로 그는 내가 그일에 대해서 기뻐하리라고 생각했댔소
"Actually on second thoughts, I dont think I want to go out tonight",실은 다시 생각해보니 오늘 밤은 가고싶지 않네
He was actuated by violent jealousy,강한 질투심이 그를 충동하였다
acupuncturist rst,침술사
an acute housing shortage,심각한 주택난
an acute leaf,끝이 뾰쪽한 잎
an acute sense of loss,심한 상실감
an acute awareness of changing fashions,변하는 류행에 대한 민감성
an acute analysis of Middle Eastern history,중동력사에 대한 예리한 분석
active duty,군사 마약상습자
analogue to digital,상사수자
The CEF of the cooperation was adamant that he would not resign,회사의 최고경영자는 완고하게 사직을 반대하였다
Sue was adamant about that job in Australia,쑤는 오스트랄리아에서의 그 직업에 마음이 몽땅 쏠리였다
his adamantine will,그의 굳센 의지
flowers which are well adapted to harsh winters,가혹한 겨울에 잘 적응하는 꽃
Everything depends on how the country adapts itself to using information technology,나라가 어떻게 정보기술을 리용하는가 하는데 모든것이 달려있다
buy a computer which will be adapted for use by disabled children,신체장애어린이용으로 개조할수 있는 콤퓨터를 사다
The film was adapted from his story,그 영화는 그의 소설을 각색한것이였다
clothes adapted for to winter wear,겨울에 알맞는 옷
Aerospace Defense Command,우주군사령부
add a name to a list,명단에 이름을 추가하다
Spellchecking your document adds time to the process,문서의 철자검사를 하면 시간이 더 걸린다
A new wing was added to the building,건물에 새롭게 날개를 더 지었다
She added a few words,몇마디 덧붙였다
together,합계하다
together,합치다
He is adding to his weight,몸무게가 늘어나고있다
add fuel to fire add fuel to flames,붙는 불에 키질하다
to add insult to injury,게다가
to add insult to injury,엎친데덮친격으로
to add insult to injury,설상가상으로
Specialized software adds up the statistics,전문프로그람이 통계를 낸다
I can add up in my head quite easily,머리속에서 쉽게 계산할수 있다
His promises do not add up,그의 약속은 앞뒤가 맞지 않는다
It all adds up to this he is a fool,결국은 그가 바보이라는 소리이다
our efforts didn't add up to much,수고를 했으나 크게 도움이 되지 않았다
the addition of networking facilities,망설비의 증설
The hotel has been extended with the addition of more rooms,호텔은 방을 증설하여 확장되였다
addition and subtraction,더하기와 덜기
in addition,에 더하여 그밖에도
in addition,그우에
in addition,더우기
in addition to,외에
The film is addlebrained,이 영화는 앞뒤를 종잡을수 없다
addon loan,금융
That letter was addressed to me,그 편지는 내게 온것이였다
address a protest to Parliament,의회에 항의하다
a funeral address,추도사
an inaugural address,취임연설
with address,솜씨있게
Air Depot,항공보급창
be barely adequate,불충분하다
provide an adequate explanation for,에 대하여 설명을 충분히 하다
Will future oil supplies be adequate to meet world needs,미래의 원유공급이 세계수요를 충족시킬수 있겠는가
the adessive case,존재격
automatic direction finder,자동방향탐지기
an adfat newspaper,광고투성이의 신문
antidiuretic hormone,생화학 항리뇨호르몬
attention deficit hyperactivity disorder,주의부족 및 활동성장애
The eggs of these fish adhere to plant leaves,이 물고기들의 알은 식물의 잎에 들어붙는다
adhere to the principle of independence,자주의 원칙을 고수하다
The account adhered firmly to the fact,그 보고는 철저히 사실에 기초하고있다
a strong adherent of the Juche idea,주체사상의 철저한 신봉자
We deal with problems on an ad hoc basis,우리는 그시그시 문제를 처리한다
They bade us all adieu,그들은 우리 모두에게 작별인사를 하였다
fields adjacent to the nuclear facility,핵시설에 린접한 구역
a adjectival phrase,형용사적어구
a park and the adjoining area,공원과 그 린접지역
The trial was adjourned until Tuesday,재판은 화요일까지 휴정되였다
The rest of us adjourned to a nearby pub for some refreshments,나머지 사람들은 하던 일을 그만두고 간단한 식사를 하러 가까운 술집에 갔다
be adjudged guilty,유죄로 판결되다
He was adjudged the winner,그가 우승자로 판정되였다
The reforms were generally adjudged to have failed,모두가 그 개혁은 실패했다고 인정하였다
The defaulter was adjudged to pay the whole amount,체납자는 전액을 지불할데 대한 판결을 받았다
The court adjudged legal damages to her,재판소는 그가 법적손해배상을 받아야 한다고 인정하였다
adjudicate all disputes,모든 의견상이에 대한 판결을 내리다
be adjudicated bankrupt,파산선고를 받다
The judge adjudicated that he should be released,판사는 그가 석방되여야 한다고 판결하였다
The case was adjudicated in the High Court,그 사건은 고등법원에서 판결되였다
The research is designed to adjudicate between these conflicting theories,그 연구사업의 의도는 이 모순되는 리론들을 판가름하는것이다
