nk,en
"무상의 행복을 받아안은 소년단대표들은 사회주의조국의 부흥발전을 위하여 혁명의 믿음직한 계승자로, 강국건설의 역군들로 항상 준비해나갈 굳은 결의를 다지였다.",The delegates of the KCU who received the boundless happiness made a firm pledge to always prepare themselves as the reliable successors to the revolution and pillars of the building of a powerful nation for the prosperity of the socialist country.
경애하는 김정은동지께서 새해 ２０２３년에 즈음하여 금수산태양궁전을 찾으시였다,Respected Comrade Kim Jong Un Visits Kumsusan Palace of Sun
"조선로동당의 향도따라 류례없이 간고한 ２０２２년을 백절불굴의 투쟁과 전진으로 긍지높이 결속하고 자기 위업의 정당성과 승리에 대한 확신에 넘쳐 새해를 맞이한 온 나라 인민은 주체의 영원한 태양이 되시여 사회주의, 공산주의의 밝은 앞날을 축복해주시는 위대한 수령 김일성동지와 위대한 령도자 김정일동지께 최대의 경의를 삼가 드리고있다.",All the people of the whole country have greeted the new year full of confidence in the validity and victory of their cause after proudly concluding the unprecedentedly arduous year 2022 with the indomitable struggle and advance under the guidance of the Workers’ Party of Korea. They are now paying the highest tribute to President Kim Il Sung and Chairman Kim Jong Il blessing the rosy future of socialism and communism as eternal sun of Juche.
조선로동당 총비서이시며 조선민주주의인민공화국 국무위원장이신 경애하는 김정은동지께서 주체１１２(２０２３)년 새해에 즈음하여 １월 １일 금수산태양궁전을 찾으시였다.,"Kim Jong Un, general secretary of the Workers’ Party of Korea (WPK) and president of the State Affairs of the Democratic People’s Republic of Korea (DPRK), visited the Kumsusan Palace of the Sun on January 1 on the occasion of the New Year Juche 112 (2023)."
"조선로동당 중앙위원회 정치국 상무위원회 위원들인 김덕훈동지, 조용원동지, 최룡해동지, 리병철동지를 비롯한 당중앙지도기관 성원들이 참가하였다.","Accompanying him were Kim Tok Hun, Jo Yong Won, Choe Ryong Hae and Ri Pyong Chol, members of the Presidium of the Political Bureau of the WPK Central Committee, and other members of the leadership body of the Party Central Committee."
"우리 당과 국가, 인민의 영원한 수령이신 위대한 김일성동지와 위대한 김정일동지께서 영생의 모습으로 계시는 금수산태양궁전은 가장 경건한 분위기에 휩싸여있었다.","The Kumsusan Palace of the Sun where the President and the Chairman, eternal leaders of our Party, state and people, lie in state, was wrapped in the most sublime atmosphere."
위대한 수령 김일성동지와 위대한 령도자 김정일동지의 립상에 김정은동지께서 드리는 꽃바구니가 진정되였다.,A floral basket from the respected Comrade Kim Jong Un was laid before the statues of Kim Il Sung and Kim Jong Il.
"조선로동당 중앙위원회, 조선민주주의인민공화국 국무위원회, 조선민주주의인민공화국 최고인민회의 상임위원회, 조선민주주의인민공화국 내각의 명의로 된 꽃바구니들이 진정되였다.","Also placed before the statues were floral baskets in the names of the Central Committee of the WPK, the State Affairs Commission of the DPRK, the Standing Committee of the Supreme People’s Assembly of the DPRK and the Cabinet of the DPRK."
경애하는 총비서동지께서는 참가자들과 함께 위대한 수령님과 위대한 장군님의 립상을 우러러 숭고한 경의를 표시하시였다.,"The respected General Secretary, together with the participants, paid high tribute to the statues of the great leaders."
"위대한 수령 김일성동지와 위대한 령도자 김정일동지께서 생전의 모습으로 계시는 영생홀들을 찾으신 총비서동지께서는 주체의 성스러운 위업에 고귀한 한평생을 다 바치시여 자주, 자립, 자위로 존엄높고 강대한 당과 국가, 인민을 일떠세우신 위대한 수령님과 위대한 장군님께 삼가 새해의 인사를 드리시였다.","He visited the immortality halls where Kim Il Sung and Kim Jong Il lie in state and made deep New Year’s bows to them who devoted their precious whole lives to the sacred cause of Juche to build the dignified and powerful Party and state and made the people independent in politics, self-supporting in economy and self-reliant in defence."
당중앙지도기관 성원들은 경애하는 김정은동지의 혁명사상과 령도를 충직하게 받들어 당중앙위원회 제８기 제６차전원회의가 제시한 웅대한 목표실행을 위해 당과 인민이 부여한 무거운 책무를 다함으로써 사회주의건설의 모든 전선에서 실질적이며 비약적인 변화발전을 반드시 성취할 굳은 맹세를 다짐하였다.,The members of the leadership body of the Party Central Committee firmly pledged to fulfill the heavy responsibility and duty entrusted by the Party and the people for attaining the grandiose goal set forth at the Sixth Plenary Meeting of the Eighth Central Committee of the WPK true to the revolutionary idea and leadership of Kim Jong Un and thus achieve the substantial and rapid changes and development on all fronts of socialist construction without fail.
조선로동당 중앙위원회 제８기 제６차전원회의 확대회의에 관한 보도,Report on 6th Enlarged Plenary Meeting of 8th WPK Central Committee
"가장 정의로운 사명과 원대한 리상을 안고 개척되고 전진하는 성스러운 조선혁명은 매 시기, 매 단계마다 과학적인 진로와 명확한 실천방략을 제시하고 철저하고도 완벽한 집행에로 강력히 인도하는 조선로동당의 찬란한 향도의 손길에 의하여 그 줄기찬 상승발전이 확고히 담보되고있다.",The vigorous development of the sacred Korean revolution pioneered and advancing with the most just mission and far-reaching ideal is firmly guaranteed by the wise guidance of the Workers' Party of Korea which sets forth scientific path and clear practical strategy at each period and at every stage and leads to thorough and perfect implementation.
"백전백승 조선로동당의 전투적기치따라 위대한 조선인민특유의 백절불굴의 정신과 견인불발의 투쟁력으로 전대미문의 온갖 도전과 위협들이 가득했던 ２０２２년을 영예롭게 이겨낸 우리의 당원들과 근로자들, 인민군장병들은 사회주의건설의 전면적발전에로 나아가는 거창한 행정에서 가장 어려운 고비를 완강하게, 지혜롭게 돌파해온 나날들을 무한한 긍지와 자부심에 넘쳐 되새겨보고있다.","Our Party members, working people and service personnel have honorably defended the year 2022 full of all the unprecedented challenges and threats with the indomitable spirit and perseverance peculiar to the great Korean people under the militant banner of the ever-victorious WPK. They are recollecting with great pride and self-confidence the days when they have overcome the most difficult hardships with stubborn wisdom in the gigantic course for a comprehensive development of socialist construction."
"시련에 찬 ２０２２년에 우리 당과 인민은 자기 위업의 정당성과 자기의 존엄과 명예를 지켜 영웅적인 투쟁을 전개하여 조선의 잠재력, 조선의 정신, 조선혁명의 견결성을 힘있게 과시하였으며 뚜렷하고도 의미있는 진전을 이룩하는 과정을 통하여 자기 힘을 더 믿게 되고 변혁의 중심고리들을 더 명백히 찾아쥐게 되였으며 전면적인 발전의 로정도를 더 선명하게 설계하게 되였다.","In 2022 filled with manifold trials, our Party and people and have waged a heroic struggle to defend the validity of their cause and their dignity and honor, thus powerfully demonstrating the potentiality of the DPRK, its spirit and the staunch character of the Korean revolution. And through the process of making remarkable and meaningful progress, they came to believe their own strength more firmly, find out the main links of changes more clearly and map out the road of overall development more vividly."
국가존망을 판가리하는 위험천만하고 급박한 고비들을 성공적으로 딛고 넘어 새로운 전진도약을 지향하는 오늘의 형세하에서 우리 혁명앞에는 의연 피할수도 에돌수도 없는 장애들이 버티고있으며 이는 오직 조선로동당의 정확하고 세련된 령도와 조선인민의 일치단합되고 강인하며 용감한 투쟁으로써만 타개하고 극복할수 있다.,"Under the present situation of aspiring after a new advance after successfully overcoming the dangerous and urgent difficulties decisive of the existence of the state, the Korean revolution has persistently faced unavoidable obstacles which can be overcome only by the correct and seasoned leadership of the WPK and the united, powerful and courageous struggle of the Korean people."
"조선혁명의 불변지침인 자주, 자립, 자위의 사상을 철저히 구현하여 우리식 사회주의를 새로운 변혁과 발전에로 줄기차게 견인해나가기 위한 적극적이며 과학적인 정책방향을 확정명시함에 목적을 둔 조선로동당 중앙위원회 제８기 제６차전원회의 확대회의가 주체１１１(２０２２)년 １２월 ２６일부터 ３１일까지 혁명의 최고참모부인 우리 당중앙위원회 본부에서 진행되였다.","The Sixth Enlarged Plenary Meeting of the Eighth Central Committee of the WPK was held at the office building of the Party Central Committee, the supreme headquarters of the revolution, from December 26 to 31, Juche 111 (2022) to clarify the positive and scientific policy orientation for dynamically leading the Korean-style socialism to a fresh change and development by thoroughly applying the idea of independence, self-sustenance and self-reliance, the invariable guidelines of the Korean revolution."
조선로동당 총비서이신 경애하는 김정은동지께서 전원회의에 참석하시였다.,"Kim Jong Un, general secretary of the WPK, was present at the plenary meeting."
김정은동지께서 주석단에 등단하시자 폭풍같은 《만세!》의 환호성이 장내를 진감하였다.,"When Kim Jong Un appeared at the platform, stormy cheers of ""Hurrah!"" broke out in the meeting hall."
"전체 참가자들은 주체혁명의 방향타를 억세게 틀어잡으시고 투철한 자주적신념과 비범한 령도활동으로 전당강화의 전성기를 펼치시며 사회주의위업을 비약적인 전면적발전에로 확신성있게 이끌어나가시는 우리 당과 혁명의 위대한 수령이시며 우리 국가, 우리 인민의 모든 영예와 승리의 기치이신 김정은동지를 우러러 최대의 영광을 삼가 드리였다.","All the participants extended the highest glory to Kim Jong Un, the great leader of our Party and revolution and the banner of all honor and victories of our state and people, who has confidently led the socialist cause to radical overall development while ushering in a heyday of strengthening the whole Party with his transparent idea of independence and distinguished leadership activities, holding fast to the helm of the Juche revolution."
"조선로동당 중앙위원회 정치국 상무위원회 위원들과 조선로동당 중앙위원회 정치국 위원, 후보위원들, 조선로동당 중앙위원회 위원, 후보위원들이 회의에 참가하였으며 당중앙위원회 부서 일군들, 성, 중앙기관, 도급지도적기관과 시, 군, 중요공장, 기업소 책임일군들이 방청하였다.","Present there were members of the Presidium of the Political Bureau of the WPK Central Committee, members and alternate members of the Political Bureau of the WPK Central Committee and members and alternate members of the WPK Central Committee. Officials of the departments of the Party Central Committee and leading officials of ministries, national institutions, provincial level leadership bodies and cities and counties and major industrial establishments were present as observers."
당중앙위원회 정치국 위원들로 집행부가 선거되였다.,The presidium of the meeting was elected with members of the Political Bureau of the Party Central Committee.
조선로동당 중앙위원회 정치국은 김정은동지께 전원회의 사회를 위임하였다.,The Political Bureau of the Central Committee of the WPK authorized Kim Jong Un to preside over the meeting.
"경애하는 총비서동지께서는 당 제８차대회이후 우리 당이 １０년투쟁과 맞먹는 힘겨운 곤난과 진통을 인내하면서 전당과 전체 인민의 투쟁열의를 더욱 고조시켜 사회주의건설을 더 힘차게, 더 폭넓게 진척시켜온데 대하여 평가하시고 이 과정에 조선혁명의 대내외적환경의 특수성을 정확히 파악하고 우리의 혁명원칙과 방법론, 전진방향을 확증한것이야말로 가장 고귀한 경험으로 된다고 말씀하시였다.","Kim Jong Un appreciated that the WPK has pushed ahead with socialist construction more dynamically and extensively by further increasing the enthusiasm of the whole Party and all the people for struggle, while overcoming the difficulties and hardship equivalent to the ten-year struggle since the 8th Congress of the WPK. He said it is the most precious experience that in the course the WPK correctly grasped the peculiarities of the internal and external environment of the Korean revolution and confirmed our revolutionary principle, methodology and orientation of advance."
"김정은동지께서는 ２０２２년의 완강한 투쟁을 통하여 축적된 경험과 교훈, 실제적전진에 토대하여 이번 전원회의가 새로운 비약의 진로를 밝히며 가장 정확하고 효과적인 방략을 세워 국가발전의 활로를 열고 인민들에게 보다 큰 신심과 락관을 주는 계기로 되게 하며 이를 위해 당중앙지도기관 성원들이 높은 책임성과 적극성을 발휘하여야 한다고 하시면서 당중앙위원회 제８기 제６차전원회의 개회를 선포하시였다.","He said that the plenary meeting should serve as an occasion for opening a wide avenue for the development of the state and giving the people greater confidence and optimism by clarifying the path of new leap forward and mapping out the most correct and effective strategy on the basis of the experience, lessons and substantial advance accumulated through the stubborn struggle in 2022. Stressing the need for the members of the leadership body of the Party Central Committee to display a high sense of responsibility and activeness to this end, he declared the 6th Plenary Meeting of the 8th Party Central Committee open."
전원회의에는 다음과 같은 의정들이 상정되였다.,The plenary meeting put the following matters on its agenda items:
１. ２０２２년도 주요당 및 국가정책들의 집행정형총화와 ２０２３년도 사업계획에 대하여,1. On review of the implementation of major Party and state policies in 2022 and the work plan for 2023
２. 조직문제,2. Organizational matter
３. ２０２２년도 국가예산집행정형과 ２０２３년도 국가예산안에 대하여,3. On the fulfillment of the state budget for 2022 and the draft state budget for 2023
４. 혁명학원들에 대한 당적지도를 강화할데 대하여,4. On strengthening the Party guidance over the revolutionary schools
５. 새시대 당건설의 ５대로선에 대하여,5. On the five-point line of party building in the new era
전원회의는 상정된 의정들을 전원일치로 승인하였다.,The plenary meeting unanimously approved the agenda items.
전원회의는 첫째 의정 《２０２２년도 주요당 및 국가정책들의 집행정형총화와 ２０２３년도 사업계획에 대하여》를 토의하였다.,"The plenary meeting discussed the first agenda item ""On review of the implementation of major Party and state policies in 2022 and the work plan for 2023""."
김정은동지께서 첫째 의정에 대한 보고를 하시였다.,Kim Jong Un made a report on the first agenda item.
총비서동지께서는 보고에서 우리 당과 인민이 굳게 단결하여 간고한 투쟁속에서도 계속 힘있는 발전을 이룩하여온 ２０２２년의 성과들에 대하여 평가하시였다.,In his report he appreciated the successes made in 2022 in which our Party and people have made steady and powerful progress while waging an arduous struggle in firm unity.
우리 당의 활동과 자체강화에서 괄목할만한 성과와 진전이 이룩되였다.,The remarkable successes and progress have been made in the activities of our Party and its self-strengthening.
"당중앙위원회는 제８기 제４차, 제５차전원회의 결정의 완벽한 집행에 당활동의 총적방향을 지향시키고 대내외형세의 급격하고도 준엄한 변화국면에서도 주도적이며 령활한 령도실천으로 전당과 전체 인민을 계속적인 전진과 발전에로 강력히 인도하였으며 과감하고도 기민하게 대응하는 령도풍격을 철저히 유지하여 자기의 향도력을 더욱 세련시키고 혁명대오의 단결된 위력을 비상히 높은 경지에로 승화시키였다.","The Party Central Committee directed the general orientation of the Party activities to the thorough implementation of the decisions of the Fourth and Fifth plenary meetings of the Eighth Party Central Committee, and powerfully guided the whole Party and all the people to continuous advance and development with its initiative and superb leadership practice in the face of the sudden and severe changes in internal and external situation. It also further refined its leadership ability by thoroughly maintaining its leadership traits of responding courageously and promptly, and developed the united might of the revolutionary ranks onto a remarkably high level."
"전당적으로 당사업을 강화하는데서 관건으로 되는 중요고리들을 보강하기 위한 실속있는 조치들이 실행되였으며 당의 백년, 천년미래를 담보하는 새시대 당건설리론이 정립되여 우리 당을 전도양양하게 발전시킬수 있는 강위력한 무기가 마련되였다.","Substantial measures were taken to reinforce the key links in strengthening the Party work throughout the Party and a theory of party building in the new era guaranteeing the eternal future of the Party was established, providing a powerful weapon for the rosy development of the Party."
"가장 적중하고 가장 중대한 시기에 조선민주주의인민공화국 핵무력정책을 공식법화하여 만년대계의 안전담보를 구축하고 우리 국가의 전략적지위를 세계에 명백히 각인시키는 력사적과제를 해결한것은 우리 당의 투철한 자주적대와 자위사상의 과시이며 세계정치구도의 변화를 주도하는 견지에서 보나, 국가발전의 궤도를 새로운 높이에 올려세운 견지에서 보나 그 어떤 정치적사변보다 더 큰 위력을 가진다.","The DPRK's policy on its nuclear force was officially legalized at the most appropriate and crucial time to provide an eternal security guarantee and make the world clearly recognize the strategic position of the DPRK. The settlement of this historic task is a demonstration of the WPK's transparent stand of independence and idea of self-defence, and it has greater significance than any political event in view of steering the change of the world political structure and in view of having put the track of the state development on a new high level."
보고는 국방력강화와 대적투쟁에서 달성된 극적인 변화들을 분석평가하였다.,The report analyzed and evaluated the dramatic changes made in strengthening the defence capabilities and in the struggle against the enemy.
"우리 국방력강화를 위한 줄기찬 투쟁을 전개하여 우리의 강세를 더욱 확실하게 하고 강대무비한 군사력을 키운것은 우리 당과 공화국정부, 인민의 크나큰 자부이다.","It is high pride of our Party, government and people to have made the DPRK's great power more certain and built up matchlessly strong military muscle by waging a strenuous struggle for bolstering up the defence capabilities."
"다사다변하고 격돌하는 국제정치정세의 흐름속에서도 우리 당의 국익수호, 국위제고의 기본원칙이 훌륭히 관철됨으로써 당의 전략적구상과 결단대로 미제국주의의 강권과 전횡, 대조선정책에 심대한 타격을 안기였다.","The WPK's basic principle of defending the national interests and raising the national prestige was successfully implemented, despite the trend of the eventful and changeful international political situation, thus dealing a severe blow at the U.S. imperialists' high-handed and arbitrary practices and policy toward the DPRK in line with the Party's strategic plan and resolution."
보고는 경제건설과 문화건설에서 이룩된 뚜렷한 성과들을 개괄하였다.,The report reviewed the signal achievements made in the economic construction and the cultural construction.
건설분야의 가장 주되는 과업으로 내세운 화성지구와 련포지구건설에서 ２０２２년의 투쟁을 상징하는 훌륭한 성과들이 창조되고 경제장성과 인민생활향상에서 중요한 의의를 가지는 대상들이 준공되였다.,"Splendid successes symbolizing the struggle of the year 2022 have been made in the construction of the Hwasong and Ryonpho areas, which were the most important tasks in the field of construction, and projects of weighty significance in the economic growth and the improvement of the people's livelihood were completed."
"새로운 농촌혁명강령을 실현하기 위한 투쟁이 본격적인 시발을 떼고 전국의 시, 군들에 농촌발전의 새시대를 대표하는 본보기살림집들이 일떠섰으며 경제관리를 개선하고 국가적인 위기대응능력과 나라의 문명수준을 높이기 위한 사업이 적극 전개되였다.","The drive for implementing the new programme for rural revolution started dynamically, model houses representing the new era of rural development were built in cities and counties across the country and the brisk work was launched to improve the economic management and raise the country's ability to cope with crisis and the country's level of civilization."
"총비서동지께서는 ２０２２년이 결코 무의미하지 않은 시간이였고 분명코 우리는 전진하였다고 하시면서 당과 국가의 제반 사업에서 이룩된 확실한 성과들은 혹독한 국난을 억척같이 감내해주며 자력갱생, 간고분투의 정신력과 창조력을 발휘해준 위대한 우리 인민만이 전취할수 있는 값비싼 승리이며 조국청사에 길이 빛날 불멸의 공적이라고 선언하시였다.","2022 was a time which was by no means meaningless and we have made clear advance, the General Secretary said, adding that certain successes made in all the work of the Party and the state are a praiseworthy victory won only by our great people who have displayed the spirit of self-reliance and fortitude and the creativity while stoutly enduring the grave national crises, and the immortal feats to remain in the history of the country forever."
총비서동지께서는 력사가 알지 못하는 가장 강인하고 용감한 투쟁으로 당정책을 견결히 옹호관철함으로써 국가의 명예와 존엄과 위상을 만천하에 과시하고 ２０２２년을 우리 혁명의 새로운 고조국면을 열어나가는데서 중요한 리정표로 되는 해로 빛내인 온 나라 전체 당원들과 인민들에게 당중앙위원회를 대표하여 뜨거운 감사의 인사를 드리시였다.,"He extended warm thanks on behalf of the Party Central Committee to all the Party members and other people across the country for having resolutely defended and implemented the Party policies through the most powerful and courageous struggle unprecedented in history to demonstrate the honor, dignity and prestige of the state before the whole world and glorify the year 2022 as a year of important milestone in opening a new surging phase of our revolution."
당 제８차대회가 제시한 ５개년계획실현에서 관건적의의를 가지는 세번째 해의 과업을 수행하며 조국해방전쟁승리 ７０돐과 공화국창건 ７５돐을 기념하게 되는 ２０２３년은 우리의 사회주의발전로정과 공화국의 력사에서 중요한 계기로 되는 해이라고 하시면서 총비서동지께서는 사회주의건설에서 새로운 국면을 열기 위한 전인민적인 투쟁을 더욱 확대발전시켜 ５개년계획완수의 결정적담보를 구축하는것을 새해사업의 총적방향으로 제시하시였다.,"Saying that the year 2023, in which we have to carry out the tasks for the third year of key significance in implementing the five-year plan set forth by the 8th Congress of the Party and mark the 70th anniversary of the victory in the Fatherland Liberation War and the 75th birthday of the Republic, is an important year in the course of our socialist development and the history of the DPRK, he set it as the general direction of the new year's work to further expand and develop the all-people struggle for opening a new phase in socialist construction and thus provide a decisive guarantee for the fulfillment of the five-year plan."
"총비서동지께서는 ２０２２년의 투쟁기세를 더욱 배가하여 올해 목표달성과 새로 제기된 전망과제수행에 총매진함으로써 ２０２３년을 공화국의 발전행로에 크게 아로새길 위대한 전환의 해, 변혁의 해로 만들자고 말씀하시였다.",He stressed the need to make 2023 a year of great turn and change to be remarkably recorded in the development course of the DPRK by redoubling the fighting spirit displayed in 2022 and making all efforts to attain this year's goal and fulfill the new long-term tasks.
총비서동지께서는 국가경제의 안정적발전을 보장하며 인민생활향상에서 실제적인 변화를 가져오기 위한 제반 과업들을 밝히시였다.,The General Secretary indicated all the tasks for ensuring stable development of the national economy and bringing about a substantial change in the improvement of the people's living standard.
"보고는 국가경제발전 ５개년계획완수를 위한 더 높은 목표와 방대한 과업이 나서고있는 ２０２３년을 국가경제발전의 큰걸음을 내짚는 해, 생산장성과 정비보강전략수행, 인민생활개선에서 관건적인 목표들을 달성하는 해로 규정하고 전반적부문과 단위들의 생산을 활성화하면서 당대회가 결정한 정비보강계획을 기본적으로 끝내는것을 경제사업의 중심과업으로 내세웠다.","The report defined the year 2023, which faces the higher goals and huge tasks for fulfilling the five-year plan for national economic development, as a year of making a big stride in the development of the national economy, a year of attaining the goals of key importance in the growth of production, the implementation of readjustment and reinforcement strategy and the improvement of the people's living standard, and set it as the main task of economic work to mainly complete the plan for readjustment and reinforcement decided by the Party Congress while pepping up production in all sectors and units."
"총비서동지께서는 우리 당이 국가창건으로부터 사회주의건설의 전 행정에서 위대한 수령님께서 제시하신 자립의 사상을 철저히 구현하며 패배주의와 기술신비주의를 청산하기 위해 강하게 투쟁해왔음에도 불구하고 이러한 낡은 사상경향이 아직도 교묘한 외피를 쓰고 일부 경제일군들속에 고질병, 토착병처럼 계속 잠복해있고 잠재하고있는데 대하여 엄책하시였다.","The General Secretary said that the WPK has made strenuous efforts to thoroughly embody the idea of self-sustenance laid down by President Kim Il Sung and eliminate defeatism and mysticism about technology in the whole course of socialist construction since the foundation of the state. He reprimanded that however, the tendency of such old idea still remains among some economic officials as incurable and indigenous diseases with clever disguise."
전원회의는 아직까지도 남의 기술에 대한 의존을 털어버리지 않고 자력의 원칙을 흥정하려드는 낡은 사상에 단호하고도 심대한 타격을 주었으며 객관적환경에 빙자하면서 우리 사업을 방해하고있는 온갖 그릇된 사상잔재를 말끔히 청산하기 위한 투쟁을 계속 전개해야 한다고 인정하였다.,"The plenary meeting dealt a resolute and heavy blow to the outdated idea of trying to bargain the principle of self-reliance, not abandoning dependence on the technology of others, and recognized that it is necessary to continue the struggle to wipe out all the remnants of wrong ideas which are obstructing our work under the pretense of objective circumstances."
"총비서동지께서는 인민경제의 성과적발전에서 중요한 핵심부문 로동계급과 과학자, 기술자들이 다시한번 １９６０년대, ７０년대의 투쟁정신과 기치를 높이 들고 혁명의 난국을 우리 힘으로 타개해나갈것을 열렬히 전투적으로 호소하시였다.","The General Secretary ardently and militantly called upon the workers, scientists and technicians in core sectors for the successful development of the national economy to overcome the difficulties facing the revolution by their own efforts, holding high the fighting spirit and banner of the 1960s and 70s once again."
보고는 새 년도에 인민경제 각 부문들에서 달성하여야 할 경제지표들과 １２개 중요고지들을 기본과녁으로 정하고 그 점령방도들을 구체적으로 명시하였으며 ２０２３년의 계획수행이 경제발전의 중장기전략수행에로 이어지게 하는데 작전과 지도의 중심을 둘데 대하여 강조하였다.,The report set as the main targets the economic indices and 12 major goals to be attained by all sectors of the national economy in the new year and specified the ways for attaining them. It stressed the need to focus the operation and guidance on making the fulfillment of the plan for 2023 lead to the implementation of the medium- and long-term strategy for economic development.
"세기적인 변혁을 안아오는 하나의 혁명이며 인민들이 제일 반기는 사업인 살림집건설을 제１차적인 중요정책과제로 내세우고 평양시 ５만세대 살림집건설의 세번째 해에 수도건설을 보다 통이 크게 벌려 화성지구 ２단계 １만세대건설과 함께 새로운 ３, ７００세대 거리를 하나 더 형성하며 ２０２２년에 축적된 경험에 토대하여 농촌건설에 더 큰 힘을 넣어야 한다.","Setting the housing construction, a revolution that brings about epochal changes and a project greatly favored by the people, as the first major policy task, the report underlined the importance to build a new street composing of 3 700 flats along with the construction of 10 000 flats of the second stage in the Hwasong area by conducting the capital city construction in a bolder way in the third year of the construction of 50 000 flats in Pyongyang City. It also stressed the need to direct greater efforts to the rural construction on the basis of the experience accumulated in the year 2022."
보고는 인민생활에서 실제적인 변화를 가져오는것을 우리 당이 제일 중시하고 품들여 추진하고있는 정책적과업으로 제기하였으며 농업부문에서 철저히 중시해야 할 과업들과 방도들을 구체화하였다.,"The report raised it as a policy task to bring about a substantial change in the people's living which the Party attaches most importance to and is pushing forward with much effort, and detailed the important tasks and ways to which the agricultural sector should give priority."
